index,Model,Accuracy Avg F-Rank,index,Model,F1 Avg F-Rank,index,Model,Precision Avg F-Rank,index,Model,Recall Avg F-Rank,index,Model,MCC Avg F-Rank,index,Model,kappa Avg F-Rank
17,"DeBERTa,T5,GPT2",5.333333333333333,17,"DeBERTa,T5,GPT2",5.416666666666667,13,"DeBERTa,Albert,GPT2",4.916666666666667,17,"DeBERTa,T5,GPT2",5.333333333333333,17,"DeBERTa,T5,GPT2",5.666666666666667,13,"DeBERTa,Albert,GPT2",5.166666666666667
13,"DeBERTa,Albert,GPT2",5.666666666666667,13,"DeBERTa,Albert,GPT2",5.5,17,"DeBERTa,T5,GPT2",5.083333333333333,13,"DeBERTa,Albert,GPT2",5.666666666666667,13,"DeBERTa,Albert,GPT2",5.833333333333333,17,"DeBERTa,T5,GPT2",5.583333333333333
16,"DeBERTa,T5,Albert",6.75,16,"DeBERTa,T5,Albert",6.833333333333333,16,"DeBERTa,T5,Albert",6.416666666666667,16,"DeBERTa,T5,Albert",6.75,16,"DeBERTa,T5,Albert",7.0,16,"DeBERTa,T5,Albert",6.916666666666667
15,"DeBERTa,GPT2,Pythia",7.25,15,"DeBERTa,GPT2,Pythia",7.333333333333333,15,"DeBERTa,GPT2,Pythia",7.166666666666667,15,"DeBERTa,GPT2,Pythia",7.25,15,"DeBERTa,GPT2,Pythia",7.5,15,"DeBERTa,GPT2,Pythia",7.083333333333333
14,"DeBERTa,Albert,Pythia",7.75,14,"DeBERTa,Albert,Pythia",7.75,22,"T5,Albert,GPT2",7.916666666666667,14,"DeBERTa,Albert,Pythia",7.75,3,"Bart,Albert,GPT2",8.416666666666666,14,"DeBERTa,Albert,Pythia",8.25
18,"DeBERTa,T5,Pythia",8.083333333333334,18,"DeBERTa,T5,Pythia",8.166666666666666,14,"DeBERTa,Albert,Pythia",7.916666666666667,18,"DeBERTa,T5,Pythia",8.083333333333334,14,"DeBERTa,Albert,Pythia",8.5,3,"Bart,Albert,GPT2",8.583333333333334
3,"Bart,Albert,GPT2",8.916666666666666,22,"T5,Albert,GPT2",8.333333333333334,18,"DeBERTa,T5,Pythia",8.083333333333334,22,"T5,Albert,GPT2",8.833333333333334,18,"DeBERTa,T5,Pythia",8.75,18,"DeBERTa,T5,Pythia",8.833333333333334
22,"T5,Albert,GPT2",9.0,3,"Bart,Albert,GPT2",9.166666666666666,23,"T5,Albert,Pythia",8.916666666666666,3,"Bart,Albert,GPT2",9.0,22,"T5,Albert,GPT2",8.833333333333334,22,"T5,Albert,GPT2",9.083333333333334
23,"T5,Albert,Pythia",9.583333333333334,23,"T5,Albert,Pythia",9.166666666666666,24,"T5,GPT2,Pythia",9.5,23,"T5,Albert,Pythia",9.333333333333334,23,"T5,Albert,Pythia",9.25,23,"T5,Albert,Pythia",9.333333333333334
24,"T5,GPT2,Pythia",9.916666666666666,24,"T5,GPT2,Pythia",9.916666666666666,3,"Bart,Albert,GPT2",9.583333333333334,24,"T5,GPT2,Pythia",9.75,11,"Bart,T5,GPT2",9.916666666666666,11,"Bart,T5,GPT2",10.166666666666666
