Model,Accuracy,F1,Precision,Recall,MCC,kappa
"T5,GPT2,Pythia",0.9173497267759564,0.9163297218630198,0.9160435001274276,0.9173497267759564,0.832553671889237,0.8319721104410682
"T5,Albert,GPT2",0.9153005464480874,0.914480790379019,0.914281977266314,0.9153005464480874,0.8286752630912746,0.8282279977522148
"T5,Albert,Pythia",0.9134790528233152,0.9127298976537536,0.9125453297506336,0.9134790528233152,0.825122832811463,0.8247322666074095
"DeBERTa,GPT2,Pythia",0.910063752276867,0.9106726988120484,0.9114258316926778,0.910063752276867,0.8107621195230753,0.810650479409533
"DeBERTa,T5,GPT2",0.9080145719489982,0.9089114187413218,0.910128217353069,0.9080145719489982,0.8073717083858903,0.8071235773830054
"DeBERTa,Albert,Pythia",0.9064207650273224,0.90741479575266,0.9087700114616178,0.9064207650273224,0.8040948229111439,0.8038255662134033
"DeBERTa,Albert,GPT2",0.9055100182149364,0.9065466817437732,0.9079670377031228,0.9055100182149364,0.8024817817434394,0.8021767847182901
"DeBERTa,T5,Pythia",0.90459927140255,0.9057308274918312,0.9073171207450548,0.90459927140255,0.8008260707220711,0.8004700898349091
"DeBERTa,T5,Albert",0.904143897996357,0.9053414661214788,0.9070556972286804,0.904143897996357,0.8001861450456426,0.7997747640436784
"Bart,GPT2,Pythia",0.903688524590164,0.9017348702187512,0.9021471890309052,0.903688524590164,0.809242007582787,0.8074781922587998
"Bart,Albert,GPT2",0.9034608378870674,0.9015885807050332,0.9020386520550294,0.9034608378870674,0.808844584200445,0.807144348448545
"Bart,Albert,Pythia",0.902094717668488,0.900198872820885,0.900520432583534,0.902094717668488,0.8061408581576568,0.8045029657464053
"Bart,T5,GPT2",0.9018670309653916,0.9002019613311748,0.9005410090063761,0.9018670309653916,0.8058916390979376,0.8044646409805402
"Bart,DeBERTa,GPT2",0.901183970856102,0.8995408440980089,0.8998642015729844,0.901183970856102,0.8045730898491353,0.8031869187769993
"Bart,DeBERTa,T5",0.9005009107468124,0.898949123327973,0.8993204249850176,0.9005009107468124,0.8033076244067231,0.8019924308919637
"Bart,DeBERTa,Albert",0.8993624772313297,0.8977763267553469,0.8980280224134006,0.8993624772313297,0.8010518381123412,0.7997740570315698
"Bart,T5,Albert",0.8993624772313297,0.8977627772728812,0.8979601594169954,0.8993624772313297,0.801045327124581,0.7997772786470622
"Bart,T5,Pythia",0.89867941712204,0.8970531001259917,0.8972028979103751,0.89867941712204,0.7996812135596714,0.798419922602013
"Bart,DeBERTa,Pythia",0.8984517304189436,0.8967381850184799,0.8968488342109306,0.8984517304189436,0.7991547969807836,0.797838763670275
"Albert,GPT2,Pythia",0.8984517304189436,0.8973368608687913,0.8966657805966477,0.8984517304189436,0.7906049064496529,0.790274789285174
T5-base,0.8645264116575592,0.8621253780251442,0.8268447790420366,0.8059282789271176,0.736876406325113,0.7359378337735313
DeBERTa-v3-base,0.8549635701275046,0.8495696966479858,0.8291185362332695,0.7783543846859663,0.71408177701959,0.7098270747329307
BART-base,0.8545081967213115,0.8530562077152988,0.8086281483286988,0.8051095504237069,0.7206326028048021,0.7202900743364822
GPT-2,0.842896174863388,0.8378142373940478,0.8000756934463511,0.7702127003324019,0.6925194557318208,0.6898862441410063
ALBERT,0.8419854280510018,0.8389226747214819,0.8064705316698708,0.7725368799703433,0.6906512989998026,0.6890716527580787
Pythia,0.8183060109289617,0.8110484702310569,0.7796272865817654,0.724124855647274,0.6385958135122624,0.6334298563367041
