Model,Accuracy,F1,Precision,Recall,MCC,kappa
"DeBERTa,Albert,Pythia",0.9054629561641824,0.9052582912568546,0.906583525015447,0.9054629561641824,0.8114050982384614,0.8100328582402627
"DeBERTa,T5,Albert",0.9014795506277994,0.9013062702123128,0.902257218787199,0.9014795506277994,0.8031048284933654,0.802101801524012
"DeBERTa,Albert,GPT2",0.9014428372127176,0.9012701860995648,0.9022150620456504,0.9014428372127176,0.8030263827562898,0.8020293834340793
"DeBERTa,GPT2,Pythia",0.8995704530435421,0.8994121787166123,0.9002064496613765,0.8995704530435421,0.7991505105747057,0.7983028540148367
"T5,Albert,Pythia",0.8986526176664953,0.8984370642226697,0.9037798590482392,0.8986526176664953,0.8025509180661525,0.7976283584419547
"DeBERTa,T5,Pythia",0.8980652030251854,0.8979164340480027,0.8986146439448008,0.8980652030251854,0.7960559827971776,0.7953038222204591
"DeBERTa,T5,GPT2",0.8978449225346942,0.8976998341085872,0.898367278363295,0.8978449225346942,0.7955910865832201,0.7948697300360097
"T5,Albert,GPT2",0.8969821572802702,0.896780311202266,0.9017650614134902,0.8969821572802702,0.7988633456986648,0.7942800465057878
"T5,GPT2,Pythia",0.8949262060356854,0.894739070403165,0.8993406250608912,0.8949262060356854,0.7943801521391839,0.7901600312227682
"Bart,Albert,Pythia",0.8938615169983112,0.893596153772399,0.8975165112154374,0.8938615169983112,0.7913299134833418,0.7876466815747063
"Bart,DeBERTa,Albert",0.8928151846684779,0.8925587400153916,0.8962956106456784,0.8928151846684779,0.7890638991938338,0.7855549360790144
"Bart,Albert,GPT2",0.8913833614802849,0.8911393069041337,0.8946292926337444,0.8913833614802849,0.785967396166165,0.7826926366288889
"Bart,GPT2,Pythia",0.8903186724429106,0.890083966433979,0.8933934983427977,0.8903186724429106,0.783668112502468,0.7805643300627833
"Bart,DeBERTa,Pythia",0.8900249651222557,0.8897915023246799,0.8930716729886148,0.8900249651222557,0.7830527297870483,0.7799770106295292
"Bart,DeBERTa,GPT2",0.8897496145091417,0.8895194831099243,0.8927405219387469,0.8897496145091417,0.7824466525159406,0.779426738887251
"Bart,T5,Albert",0.8895844041412733,0.8893533696682454,0.8925815912277019,0.8895844041412733,0.7821223841658639,0.779096121957436
"Bart,DeBERTa,T5",0.8894742638960276,0.889245230003393,0.8924401671163494,0.8894742638960276,0.7818710763809035,0.7788761195808944
"Bart,T5,GPT2",0.8877670900947207,0.8875524264063623,0.890480526647204,0.8877670900947207,0.7782060251031651,0.7754635314707728
"Bart,T5,Pythia",0.8872347455760334,0.8870217814611016,0.88990829390346,0.8872347455760334,0.7771016297768741,0.7743989544727197
"Albert,GPT2,Pythia",0.8844628827373522,0.8842498503166877,0.8850777374475391,0.8844628827373522,0.7686306995387349,0.7677236893039553
DeBERTa-v3-base,0.8510720317203906,0.8509950066833288,0.8518267346251387,0.8510992365868948,0.702925594747399,0.7021599801728501
T5-base,0.8491078640135106,0.8490969682514259,0.8491991922246551,0.8490983392244981,0.6982975241662063,0.6982096882233532
BART-base,0.8411043395256627,0.841103880127198,0.8411108686702169,0.8411069237973321,0.6822177924561434,0.6822100223290699
GPT-2,0.8340920772450253,0.8340817003796221,0.8341668189923767,0.8340832218437115,0.6682500356071447,0.6681779716429346
ALBERT,0.8317240619722447,0.8316114752711818,0.8326445755166674,0.8317549063588268,0.6643988862161153,0.663468575962362
Pythia,0.8136243483368822,0.8135446128201864,0.8141865326838964,0.81364908612207,0.627835388770547,0.6272668151438584
