Model,Accuracy,F1,Precision,Recall,MCC,kappa
"DeBERTa,GPT2,Pythia",0.9681467181467182,0.9680295676880764,0.9692763855499704,0.9681467181467182,0.9421237590053354,0.9413550704500776
"DeBERTa,T5,Pythia",0.9662162162162162,0.9661053209183678,0.96732407327513,0.9662162162162162,0.9385144624077376,0.937693954629652
"DeBERTa,T5,GPT2",0.9662162162162162,0.9661053209183678,0.96732407327513,0.9662162162162162,0.9385144624077376,0.937693954629652
"DeBERTa,Albert,GPT2",0.9662162162162162,0.966100720179735,0.9672180241991564,0.9662162162162162,0.9385013441698948,0.9377817281442448
"DeBERTa,Albert,Pythia",0.9662162162162162,0.966100720179735,0.9672180241991564,0.9662162162162162,0.9385013441698948,0.9377817281442448
"DeBERTa,T5,Albert",0.9652509652509652,0.9651369451254956,0.9662413377061172,0.9652509652509652,0.9366944615697108,0.9359491110053976
"T5,Albert,Pythia",0.9633204633204632,0.9639100965475904,0.965811672036556,0.9633204633204632,0.930410278421834,0.9298401943259808
"Bart,T5,Albert",0.9633204633204632,0.9631464183629168,0.963746989814484,0.9633204633204632,0.9323401427527426,0.9317939264577472
"Bart,Albert,Pythia",0.9623552123552124,0.9622032633699872,0.9626467942431516,0.9623552123552124,0.9305411674785696,0.93014329580348
"Bart,Albert,GPT2",0.9613899613899614,0.961242974430924,0.9616166546762412,0.9613899613899614,0.9287402978873692,0.9283946862774912
"Bart,T5,Pythia",0.9613899613899614,0.9612230541208314,0.961661840374498,0.9613899613899614,0.9287151347801446,0.9282896102997162
"Bart,GPT2,Pythia",0.9613899613899614,0.9612604092948892,0.9615831297321814,0.9613899613899614,0.928777286602023,0.9284994547738348
"T5,Albert,GPT2",0.9604247104247104,0.9610052450810184,0.963107607242244,0.9604247104247104,0.9252802836121014,0.9245352743759984
"T5,GPT2,Pythia",0.9604247104247104,0.9610238616066664,0.963175717457546,0.9604247104247104,0.925376872290106,0.924588196444233
"Bart,T5,GPT2",0.9604247104247104,0.9602627847131484,0.9606303377543346,0.9604247104247104,0.9269116669192948,0.9265405794294252
DeBERTa-v3-base,0.9594594594594594,0.9596162769844703,0.9453603692130104,0.9516606395274971,0.9257867054670746,0.925287435266968
"Bart,DeBERTa,GPT2",0.9575289575289576,0.9574376630712522,0.9575381313680824,0.9575289575289576,0.921685710814137,0.9215821199526576
"Bart,DeBERTa,Pythia",0.9565637065637066,0.9564602128566112,0.9565403429520416,0.9565637065637066,0.9198427448067166,0.9197302993154176
"Bart,DeBERTa,Albert",0.9555984555984556,0.9554793944444095,0.9555442602612414,0.9555984555984556,0.91800042829549,0.9178752619388992
"Bart,DeBERTa,T5",0.9546332046332048,0.9544951564162888,0.9545498406722898,0.9546332046332048,0.9161587498680556,0.916016999434272
BART-base,0.9488416988416989,0.948999516959206,0.9296780270693402,0.9378998596249849,0.9053990022779004,0.9053297286859129
T5-base,0.946911196911197,0.9461454691566743,0.9469518101385043,0.9092267908660178,0.9002761923975756,0.8991895176913727
"Albert,GPT2,Pythia",0.9333976833976834,0.9341123516429426,0.9357879626065396,0.9333976833976834,0.8737323753724185,0.8729518904191393
GPT-2,0.917953667953668,0.9186515417881878,0.8779595147411482,0.9033313501101619,0.8494708621817727,0.8490681164537349
ALBERT,0.916023166023166,0.9146236474412907,0.9064795285043455,0.8909672706200981,0.8426680350951354,0.840797531383192
Pythia,0.9131274131274131,0.9123399095418964,0.908840778148495,0.8795398767302848,0.8363129749041408,0.8355891916292257
